LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
58961,908,241,92,55,48
58965,202,83,58,50,49
58967,738,202,83,52,49
58971,927,247,91,55,48
58976,899,234,90,55,48
58978,693,183,83,52,49
58980,679,189,84,52,49
58981,932,246,91,55,48
58982,190,59,51,50,49
58983,625,183,83,52,49
58986,102,60,52,50,49
58988,130,59,51,50,49
58989,591,81,56,52,49
58990,538,165,79,52,49
58992,442,134,70,51,49
58993,99,51,48,24,24
58994,109,59,51,50,49
59000,309,81,56,52,49
59001,184,76,55,49,49
59004,58,53,50,49,49
59006,58,53,50,49,49
59007,201,75,55,49,49
59009,300,81,56,52,49
59010,235,86,57,53,49
59018,75,48,12,12,12
59019,157,58,50,49,49
59020,57,52,49,48,48
59023,761,209,65,55,48
59024,141,52,49,48,48
59026,400,125,68,53,49
59027,320,113,67,53,49
59028,57,52,49,48,48
59031,303,109,65,55,48
59034,303,109,65,55,48
59037,261,98,62,48,48
59041,284,101,54,48,48
59042,531,158,75,55,48
59043,531,158,75,55,48
59045,302,108,64,54,48
59047,460,144,75,55,48
59049,585,109,65,55,48
59051,585,109,65,55,48
59053,603,176,81,55,48
59055,421,129,61,48,48
59057,437,130,61,48,48
59058,614,175,65,55,48
59059,576,169,74,55,48
59063,589,173,77,54,48
59064,829,223,88,56,48
59066,551,151,77,54,48
59067,710,180,81,55,48
59068,655,173,77,54,48
59070,796,218,88,56,48
59071,631,181,77,54,48
59075,540,147,72,55,48
59076,540,147,72,55,48
59079,619,172,66,56,48
59080,795,217,87,56,48
59082,587,162,76,54,48
59083,304,110,66,56,48
59085,660,162,76,54,48
59087,800,213,66,56,48
59092,578,139,73,56,48
59093,304,110,66,56,48
59094,795,217,87,56,48
59100,684,196,82,56,48
59107,753,208,82,56,48
59174,930,245,92,55,48
59177,255,96,60,50,49
59179,544,135,69,51,49
59180,307,96,60,50,49
59181,401,135,69,51,49
59183,431,138,58,50,49
59189,202,83,58,50,49
59191,731,203,83,52,49
59199,353,107,53,51,49
59200,898,234,90,55,48
59201,110,51,48,24,24
59202,110,51,48,24,24
59203,152,62,48,24,24
59204,924,246,91,55,48
59206,624,165,79,52,49
59207,625,183,83,52,49
59209,119,63,48,24,24
59210,218,71,53,51,49
59212,162,71,53,51,49
59213,626,184,84,52,49
59214,591,81,56,52,49
59215,80,53,50,49,49
59216,495,126,56,52,49
59217,95,56,50,49,49
59218,96,59,51,50,49
59222,51,14,14,14,14
59224,854,228,89,55,48
59225,183,75,55,49,49
59226,62,55,50,49,49
59228,195,81,56,52,49
59231,303,109,65,55,48
59233,454,81,56,52,49
59234,793,215,86,55,48
59238,61,48,12,12,12
59242,52,49,16,16,16
59243,835,220,65,55,48
59244,91,52,49,48,48
59246,239,82,57,53,49
59248,314,111,62,48,48
59249,52,49,16,16,16
59250,400,125,68,53,49
59251,388,125,68,53,49
59252,332,103,63,48,48
59255,303,109,65,55,48
59258,712,199,65,55,48
59259,185,77,49,48,48
59261,709,109,65,55,48
59262,276,101,54,48,48
59265,511,152,65,55,48
59266,303,109,65,55,48
59268,345,80,54,48,48
59269,470,149,65,55,48
59275,601,175,65,55,48
59279,468,143,74,55,48
59280,553,129,61,48,48
59281,509,159,77,54,48
59287,473,151,77,54,48
59290,304,110,66,56,48
59292,374,127,73,56,48
59294,822,221,88,56,48
59295,822,221,88,56,48
59299,304,110,66,56,48
59306,565,161,78,56,48
59307,843,217,87,56,48
59308,592,110,66,56,48
59309,581,163,76,54,48
59311,795,217,87,56,48
59316,795,217,87,56,48
59317,800,213,66,56,48
59318,795,217,87,56,48
59320,697,196,82,56,48
59322,856,219,87,56,48
59324,759,205,85,56,48
59334,772,196,82,56,48
59340,840,227,85,56,48
59341,839,227,85,56,48
59401,537,136,69,51,49
59404,536,136,69,51,49
59405,525,135,69,51,49
59407,407,118,58,50,49
59410,307,96,60,50,49
59412,255,96,60,50,49
59413,457,135,69,51,49
59415,903,238,65,55,48
59418,256,97,60,50,49
59422,931,246,91,55,48
59423,396,116,69,51,49
59425,110,51,48,24,24
59426,644,165,79,52,49
59427,163,68,52,50,49
59428,887,237,65,55,48
59429,0,0,0,0,0
59433,187,79,52,50,49
59434,162,71,53,51,49
59436,290,106,53,51,49
59438,636,184,84,52,49
59439,442,134,70,51,49
59441,96,59,51,50,49
59442,181,71,53,51,49
59444,55,51,48,24,24
59446,106,59,51,50,49
59449,538,165,79,52,49
59450,58,53,50,49,49
59451,90,58,50,49,49
59452,195,81,56,52,49
59455,858,220,65,55,48
59456,816,215,86,55,48
59457,826,215,86,55,48
59458,793,215,86,55,48
59460,61,48,12,12,12
59461,86,58,50,49,49
59462,52,49,16,16,16
59466,104,57,49,48,48
59468,254,90,56,52,49
59470,320,113,67,53,49
59472,326,112,62,48,48
59473,52,49,16,16,16
59476,260,82,57,53,49
59479,745,199,65,55,48
59483,287,103,63,48,48
59484,298,104,63,48,48
59486,172,73,54,48,48
59487,284,101,54,48,48
59489,709,109,65,55,48
59492,345,80,54,48,48
59494,391,128,71,55,48
59496,534,129,61,48,48
59499,603,176,81,55,48
59500,377,129,61,48,48
59502,378,130,61,48,48
59503,439,143,74,55,48
59504,437,130,61,48,48
59505,302,108,64,54,48
59511,617,180,81,55,48
59514,304,110,66,56,48
59516,533,164,66,56,48
59522,588,151,77,54,48
59526,666,181,77,54,48
59530,762,210,66,56,48
59532,612,178,66,56,48
59533,557,168,73,56,48
59537,557,168,73,56,48
59541,795,217,87,56,48
59544,747,205,85,56,48
59551,873,231,87,56,48
59558,680,195,85,56,48
59619,381,96,60,50,49
59620,380,96,60,50,49
59626,305,96,60,50,49
59629,933,242,91,55,48
59631,401,135,69,51,49
59632,251,94,59,50,49
59634,251,94,59,50,49
59635,277,96,60,50,49
59636,451,135,69,51,49
59637,451,135,69,51,49
59638,255,96,60,50,49
59639,901,238,65,55,48
59642,238,92,60,50,49
59647,931,246,91,55,48
59649,146,68,52,50,49
59650,890,109,65,55,48
59651,192,78,52,50,49
59652,118,62,48,24,24
59653,263,71,53,51,49
59657,538,165,79,52,49
59658,306,71,53,51,49
59659,0,0,0,0,0
59660,441,134,70,51,49
59663,495,126,56,52,49
59665,150,66,51,50,49
59666,236,75,55,49,49
59668,419,126,56,52,49
59669,67,51,48,24,24
59670,170,71,53,51,49
59671,67,51,48,24,24
59673,847,228,89,55,48
59674,425,140,56,52,49
59675,113,53,50,49,49
59676,826,215,86,55,48
59677,63,50,21,21,21
59678,60,48,12,12,12
59680,830,225,65,55,48
59682,811,222,89,55,48
59683,48,2,2,2,2
59684,142,65,50,49,49
59685,243,81,56,52,49
59686,70,54,50,49,49
59688,57,52,49,48,48
59690,91,52,49,48,48
59692,722,200,80,55,48
59693,57,52,49,48,48
59694,715,201,80,55,48
59696,414,103,63,48,48
59697,147,69,49,48,48
59700,375,125,68,53,49
59702,164,49,16,16,16
59705,274,82,57,53,49
59707,522,153,75,55,48
59708,319,105,57,53,49
59710,506,157,75,55,48
59711,224,80,54,48,48
59715,246,52,49,48,48
59716,199,52,49,48,48
59718,303,109,65,55,48
59720,188,80,54,48,48
59724,378,130,61,48,48
59726,293,93,61,48,48
59728,439,143,74,55,48
59729,468,143,74,55,48
59731,499,154,74,55,48
59733,573,166,77,54,48
59737,551,151,77,54,48
59740,461,147,72,55,48
59744,621,181,77,54,48
59745,479,145,66,56,48
59746,479,145,66,56,48
59754,849,217,87,56,48
59757,304,110,66,56,48
59761,799,219,87,56,48
59771,526,160,78,56,48
59774,680,195,85,56,48
59778,750,206,82,56,48
59780,798,214,85,56,48
59791,815,195,85,56,48
59841,477,137,58,50,49
59842,477,137,58,50,49
59844,463,94,59,50,49
59847,255,96,60,50,49
59849,918,244,92,55,48
59852,933,242,91,55,48
59855,939,242,91,55,48
59856,706,197,79,52,49
59858,938,242,91,55,48
59859,202,83,58,50,49
59860,451,135,69,51,49
59861,900,239,65,55,48
59862,244,91,59,50,49
59866,401,135,69,51,49
59869,264,95,59,50,49
59871,896,234,90,55,48
59872,240,88,51,50,49
59873,379,116,69,51,49
59874,890,109,65,55,48
59875,704,187,83,52,49
59876,118,62,48,24,24
59877,417,133,70,51,49
59878,168,68,52,50,49
59879,197,79,52,50,49
