LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
37810,1388,708,558,522,514
37811,1393,662,546,522,514
37815,1389,706,557,522,514
37821,1049,630,523,156,156
37823,645,149,149,149,149
37826,540,149,149,149,149
37827,1399,711,557,522,514
37837,921,597,149,149,149
37896,876,519,106,106,106
37899,794,542,136,136,136
37900,1233,646,540,516,515
37904,1227,646,540,516,515
37905,830,519,106,106,106
37910,1130,649,539,516,515
37911,549,522,118,118,118
37914,1296,691,551,153,153
37915,1223,673,551,153,153
37916,1228,659,532,517,515
37919,153,153,153,153,153
37920,1083,621,530,516,515
37921,575,107,107,107,107
37924,612,531,514,100,100
37925,860,587,530,516,515
37927,1271,684,547,517,515
37928,40,40,40,40,40
37929,153,153,153,153,153
37930,34,34,34,34,34
37931,891,584,519,134,134
37936,946,153,153,153,153
37937,734,564,528,57,57
37938,832,565,527,515,515
37939,1025,616,534,515,515
37941,1207,666,536,518,515
37942,553,91,91,91,91
37943,1025,616,534,515,515
37944,478,478,478,478,478
37946,874,588,522,153,153
37947,1072,616,534,515,515
37948,153,153,153,153,153
37949,702,556,527,515,515
37950,65,65,65,65,65
37951,729,557,527,515,515
37952,789,578,527,515,515
37954,667,545,522,153,153
37955,725,557,527,515,515
37956,667,545,522,153,153
37957,970,604,527,515,515
37958,1121,636,531,139,139
37959,499,499,499,499,499
37961,733,563,516,155,155
37962,104,104,104,104,104
37964,987,602,518,139,139
37967,1256,664,542,514,514
37969,656,536,517,155,155
37970,158,158,158,158,158
37972,867,529,518,139,139
37974,1134,628,537,519,515
37980,1098,641,526,514,514
37982,815,580,521,170,170
37984,11,11,11,11,11
37985,701,555,526,514,514
37988,1263,681,549,521,514
37989,1054,555,526,514,514
37990,170,170,170,170,170
37991,714,558,170,170,170
37995,1245,680,541,514,514
37996,631,139,139,139,139
37997,170,170,170,170,170
37998,1180,662,546,522,514
37999,1354,680,541,514,514
38000,731,551,139,139,139
38001,631,139,139,139,139
38002,1235,671,546,522,514
38003,1178,660,544,520,514
38004,694,538,126,126,126
38005,744,566,525,139,139
38007,620,126,126,126,126
38011,1323,696,555,520,514
38013,778,576,126,126,126
38015,674,547,524,156,156
38018,156,156,156,156,156
38021,1341,701,554,520,514
38023,533,115,115,115,115
