LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
71654,975,418,292,266,258
71657,999,417,292,266,258
71659,1054,436,295,266,258
71720,1128,454,302,265,258
71729,735,345,279,261,259
71734,461,304,269,260,259
71735,661,345,279,261,259
71737,1104,447,275,265,258
71739,461,304,269,260,259
71742,539,326,279,261,259
71743,835,393,293,262,259
71744,1103,447,275,265,258
71745,748,375,289,262,259
71746,429,271,261,260,259
71748,360,278,262,260,259
71750,281,261,258,68,68
71752,297,261,258,68,68
71753,352,274,262,260,259
71756,1095,446,275,265,258
71757,351,274,262,260,259
71760,513,319,275,265,258
71761,267,261,258,68,68
71764,273,261,258,68,68
71765,414,286,265,259,259
71766,513,319,275,265,258
71768,306,268,260,259,259
71769,635,350,266,262,259
71772,284,264,260,259,259
71773,1022,426,296,265,258
71774,399,285,265,259,259
71775,277,263,260,259,259
71776,1021,432,299,265,258
71778,1021,432,299,265,258
71779,637,351,277,263,259
71781,294,264,260,259,259
71782,637,351,277,263,259
71783,642,351,277,263,259
71785,530,323,277,263,259
71787,609,335,278,263,259
71788,609,335,278,263,259
71789,980,422,296,265,258
71791,460,292,267,263,259
71792,513,319,275,265,258
71793,610,335,278,263,259
71795,996,421,275,265,258
71796,406,292,267,263,259
71797,406,292,267,263,259
71798,542,313,273,258,258
71799,577,324,278,263,259
71800,406,292,267,263,259
71802,568,332,278,263,259
71803,497,313,273,258,258
71804,778,367,285,265,258
71805,558,315,267,263,259
71806,699,363,285,265,258
71807,575,315,267,263,259
71809,483,262,259,258,258
71810,455,303,271,258,258
71814,698,362,275,265,258
71816,98,98,98,98,98
71818,503,303,271,258,258
71819,587,339,271,258,258
71820,512,318,274,264,258
71823,781,380,284,265,258
71824,795,319,275,265,258
71826,763,339,271,258,258
71831,712,358,282,265,258
71833,799,383,287,264,258
71843,759,372,286,264,258
71844,1034,427,297,266,258
71846,876,391,287,264,258
71849,634,349,283,266,258
71850,1005,427,297,266,258
71852,634,349,283,266,258
71853,845,388,276,266,258
71854,1074,440,297,266,258
71856,802,320,276,266,258
71861,790,377,283,266,258
71863,1012,420,276,266,258
71867,987,415,295,266,258
71868,1065,429,297,266,258
71871,968,405,295,266,258
71877,973,417,292,266,258
71879,970,418,292,266,258
71880,1015,405,295,266,258
71881,1046,436,295,266,258
71953,1148,452,301,265,258
71955,465,306,270,260,259
71958,618,328,268,260,259
71959,928,408,289,262,259
71963,927,401,289,262,259
71965,886,404,293,262,259
71968,1108,444,300,265,258
71969,835,393,293,262,259
71970,561,326,279,261,259
71972,412,293,268,260,259
71973,397,289,262,260,259
71974,626,343,280,261,259
71976,313,269,258,68,68
71977,1096,446,275,265,258
71980,513,319,275,265,258
71981,705,336,266,262,259
71983,296,263,260,259,259
71984,513,319,275,265,258
71985,312,266,260,259,259
71986,364,276,261,260,259
71987,296,263,260,259,259
71988,311,266,260,259,259
71989,583,336,266,262,259
71992,323,271,261,260,259
71993,684,350,266,262,259
71995,269,260,68,68,68
71996,286,264,260,259,259
71997,1061,439,299,265,258
71998,1014,430,275,265,258
71999,513,319,275,265,258
72000,513,319,275,265,258
72003,664,291,266,262,259
72005,346,268,260,259,259
72006,991,319,275,265,258
72007,637,351,277,263,259
72008,309,262,259,258,258
72009,642,351,277,263,259
72011,609,335,278,263,259
72012,932,410,290,265,258
72014,319,259,68,68,68
72015,538,312,267,263,259
72017,985,422,296,265,258
72019,996,421,275,265,258
72020,530,323,277,263,259
72021,531,324,278,263,259
72022,566,324,278,263,259
72023,939,414,296,265,258
72024,531,324,278,263,259
72026,567,332,278,263,259
72027,839,384,290,265,258
72028,840,384,290,265,258
72029,807,381,290,265,258
72030,716,367,285,265,258
72031,785,381,290,265,258
72033,700,363,285,265,258
72034,756,319,275,265,258
72035,398,290,264,258,258
72038,860,395,291,265,258
72040,503,303,271,258,258
72041,455,303,271,258,258
72042,512,318,274,264,258
72043,587,339,271,258,258
72044,513,319,275,265,258
72045,628,319,275,265,258
72046,548,330,275,265,258
72047,888,402,291,265,258
72048,855,386,291,265,258
72049,693,361,287,264,258
72050,763,339,271,258,258
72054,872,383,287,264,258
72055,712,358,282,265,258
72057,713,358,282,265,258
72058,799,383,287,264,258
72061,812,361,287,264,258
72067,584,337,283,266,258
72070,867,392,287,264,258
72073,737,370,288,266,258
72074,1059,427,297,266,258
72079,738,372,286,264,258
72080,1037,427,297,266,258
72085,826,389,292,266,258
72087,1005,427,297,266,258
72089,815,377,283,266,258
72090,1081,427,297,266,258
72095,1088,442,297,266,258
72101,963,418,292,266,258
72103,890,405,295,266,258
72105,1055,436,295,266,258
72171,461,304,269,260,259
72174,465,306,270,260,259
72175,641,348,268,260,259
72177,1120,452,301,265,258
72179,528,304,269,260,259
72182,661,345,279,261,259
72183,940,413,293,262,259
72187,513,319,275,265,258
72189,1134,456,301,265,258
72191,360,278,262,260,259
72193,903,393,293,262,259
