LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
237535,8,2,1,1,1
67519,8,2,1,1,1
220735,8,2,1,1,1
108958,8,2,1,1,1
267769,9,2,1,1,1
56985,9,2,1,1,1
89689,9,2,1,1,1
49594,9,2,1,1,1
187577,9,2,1,1,1
51385,9,2,1,1,1
301154,940,3,1,1,1
95298,940,3,1,1,1
66402,940,3,1,1,1
26306,940,3,1,1,1
262628,941,3,1,1,1
4132,941,3,1,1,1
261508,941,3,1,1,1
47364,941,3,1,1,1
294878,839,3,1,1,1
257918,839,3,1,1,1
190495,839,3,1,1,1
168544,839,3,1,1,1
263745,3,1,1,1,1
230369,3,1,1,1,1
237313,3,1,1,1,1
106945,3,1,1,1,1
59683,3,1,1,1,1
25187,3,1,1,1,1
287255,16,8,2,1,1
185783,16,8,2,1,1
282327,17,9,3,1,1
44887,17,9,3,1,1
293530,15,7,1,1,1
155322,15,7,1,1,1
267997,13,4,1,1,1
120604,13,4,1,1,1
188029,13,4,1,1,1
151740,13,4,1,1,1
164283,13,4,1,1,1
46460,13,4,1,1,1
50940,13,4,1,1,1
25852,13,4,1,1,1
182431,13,4,1,1,1
177278,13,4,1,1,1
223645,13,4,1,1,1
126877,13,4,1,1,1
302945,648,5,1,1,1
153984,648,5,1,1,1
265760,649,5,1,1,1
57441,649,5,1,1,1
233951,8,2,1,1,1
233055,8,2,1,1,1
6144,8,2,1,1,1
22943,8,2,1,1,1
267321,9,2,1,1,1
89465,9,2,1,1,1
84088,9,2,1,1,1
132024,9,2,1,1,1
311907,940,3,1,1,1
130466,940,3,1,1,1
256356,941,3,1,1,1
166084,941,3,1,1,1
258148,941,3,1,1,1
116132,941,3,1,1,1
294654,839,3,1,1,1
149950,839,3,1,1,1
198784,839,3,1,1,1
132254,839,3,1,1,1
186687,839,3,1,1,1
102464,839,3,1,1,1
67744,839,3,1,1,1
57888,839,3,1,1,1
262849,3,1,1,1,1
87905,3,1,1,1,1
229921,3,1,1,1,1
21377,3,1,1,1,1
229697,3,1,1,1,1
