time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15,corrected_at_t16,corrected_at_t17,corrected_at_t18,corrected_at_t19,corrected_at_t20,corrected_at_t21,corrected_at_t22,corrected_at_t23,corrected_at_t24,corrected_at_t25
9,,,,,,,,,,2.4418832857262065,2.269423192459305,2.3763700188711274,2.2914875662553027,2.357869002237547,2.2300776066617662,2.359220606325243,2.2576921238391745,2.0767112502615195,2.311768588764558,2.713097443601206,2.879072502985184,3.086393568218121,2.5335942222784817,3.916255865210156,3.2290867070706515,2.805447639777042
10,,,,,,,,,,,2.617436521841999,2.400428971285182,2.4654863017109565,2.455981990329302,2.508496498518169,2.3718238571213552,2.3613578544313816,2.062561106335901,2.5302419428119225,2.698085814486469,2.8488527497052725,3.0830456108088944,2.4929073953713345,3.51428161739194,3.133240271626381,2.788151960801847
11,,,,,,,,,,,,2.3931042574647177,2.296796024285872,2.4002363751596563,2.328584649062381,2.355931088882108,2.2576850609197416,2.0426158774293506,1.8773706792626457,2.676438599660905,2.8743147385781365,3.079148354816712,2.488765530486656,2.961476954976177,3.1994040220485997,2.7743440136861137
12,,,,,,,,,,,,,2.466736592567069,2.2575020728633493,2.340369716617313,2.3684360882371065,2.380380030441992,2.0506463276649494,1.5839962590702374,2.666442699984916,2.8514583037313863,3.0983604523109727,2.41956640055358,2.860201813295878,3.137724227781474,2.8151262063873506
13,,,,,,,,,,,,,,2.4133424166137503,2.237737418337245,2.359000067765124,2.2607762540869705,2.051871569253356,1.5793483559417252,2.67311085004664,2.888744208306801,3.102420279383779,2.501269119839116,2.751055404654248,3.241391713142977,2.7891044355250023
14,,,,,,,,,,,,,,,2.5055216478679982,2.3775970370590622,2.372334137529438,2.070681427360787,1.8761015850112928,2.690480226148969,2.8496258462803548,3.098510590474269,2.4805933001004687,2.632515877169691,3.1844442428549478,2.7933284188916656
15,,,,,,,,,,,,,,,,2.360075819371558,2.2398982808015764,2.058854863531191,2.049192236316366,2.675422705532157,2.8763467161819896,3.090608277566376,2.449813977119729,2.531260776603791,3.2357517909414515,2.802772304173681
16,,,,,,,,,,,,,,,,,2.3643649362248,2.046615260414633,2.0053171816659057,2.662561576528349,2.8492073559471245,3.0964800901647616,2.3969864804038403,1.644878112805359,3.149970892380113,2.7941631487889476
17,,,,,,,,,,,,,,,,,,2.057962522195834,1.6180333102643083,2.6596857750974032,2.883369644316412,3.096031846819787,2.489551797565701,1.2751406748792091,3.239853128344428,2.7946415243440303
18,,,,,,,,,,,,,,,,,,,1.8086729539291424,2.6578354453771693,2.858461469934387,3.0967546666108103,2.466518491445048,2.252534756424552,3.1906018764993545,2.7794404282758127
19,,,,,,,,,,,,,,,,,,,,2.677907578129632,2.884671783319108,3.0939128080036307,2.457851417145993,2.423930095471408,3.23385754724108,2.7778413460642972
20,,,,,,,,,,,,,,,,,,,,,2.8527236642916907,3.106012283663284,2.4161960504627698,2.6356494851209384,3.142516632532704,2.79806955777875
21,,,,,,,,,,,,,,,,,,,,,,3.1052597125196395,2.565620153051724,2.646182553319892,3.205605471435017,2.8083779409716922
22,,,,,,,,,,,,,,,,,,,,,,,2.5051612507113337,3.514831267585042,3.1337847022433896,2.813683355975037
23,,,,,,,,,,,,,,,,,,,,,,,,3.6035696156368098,3.194361170877836,2.7997851625060783
24,,,,,,,,,,,,,,,,,,,,,,,,,3.115544127174966,2.7814051685197354
25,,,,,,,,,,,,,,,,,,,,,,,,,,2.7972020322607984
